kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,gJwz1NJpMCx8RyMb--JwAyC6SG8,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLklqbFFzb0Vkdl9Z,2023-06-05T23:35:52Z,UCAGHY76tgzPiiXpJtM1sVCg,BASE FRACA NO CONGRESSO E RELAÇÃO ESTREMECIDA COM LIRA PODEM LEVAR AO IMPEACHMENT DE LULA,"A relação com a presidência da Câmara dos Deputados sempre foi o fiel da balança nos pedidos de impeachment. Quando ruiu, como no caso de Collor e Dilma, os processos foram instaurados. 

Como falei no programa Prós e Contras, com Adalberto Piotto, analisando o atual momento, tudo leva a crer que podemos chegar em um novo processo de impeachment nos próximos meses. 

A relação tensa e estremecida com o presidente da Câmara, Arthur Lira, e a base fraca do governo podem levar à queda de Lula, a depender também da deterioração da situação econômica e do povo na rua. 

Acompanhe minha entrevista na Jovem Pan News.","{'url': 'https://i.ytimg.com/vi/IjlQsoEdv_Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/IjlQsoEdv_Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/IjlQsoEdv_Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/IjlQsoEdv_Y/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/IjlQsoEdv_Y/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,0,youtube#video,IjlQsoEdv_Y,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,l4_Uhyy4fMvMhtUxaOdATZPXNLU,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLl9KZkMwZTlzNnlr,2023-06-04T19:06:48Z,UCAGHY76tgzPiiXpJtM1sVCg,REESTREIA DA BANDA LOKA LIBERAL!,,"{'url': 'https://i.ytimg.com/vi/_JfC0e9s6yk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_JfC0e9s6yk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_JfC0e9s6yk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_JfC0e9s6yk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_JfC0e9s6yk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,1,youtube#video,_JfC0e9s6yk,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,f4OIBUK2mU__xSCrzTCLVBxbOhc,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLkl5MUhsU3JHdURR,2023-06-04T19:02:44Z,UCAGHY76tgzPiiXpJtM1sVCg,"MANIFESTAÇÃO PELA DEMOCRACIA, LIBERDADE E JUSTIÇA!",,"{'url': 'https://i.ytimg.com/vi/Iy1HlSrGuDQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Iy1HlSrGuDQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Iy1HlSrGuDQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Iy1HlSrGuDQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Iy1HlSrGuDQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,2,youtube#video,Iy1HlSrGuDQ,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,rbzKy15bJI0AiwtekQR2Jk4qSqo,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLmV5emlkS3VmYm00,2023-06-04T13:46:28Z,UCAGHY76tgzPiiXpJtM1sVCg,"É HOJE! BORA PRA RUA! EM PORTO ALEGRE, 14H30 NO PARCÃO!",,"{'url': 'https://i.ytimg.com/vi/eyzidKufbm4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eyzidKufbm4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eyzidKufbm4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eyzidKufbm4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eyzidKufbm4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,3,youtube#video,eyzidKufbm4,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,FzHCXLTrBUDfz62qra0_1I8CUuI,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLlY5VEtYQW9zRFdn,2023-06-02T18:44:16Z,UCAGHY76tgzPiiXpJtM1sVCg,VOCÊ JÁ VIU TARTARUGA SUBIR SOZINHA NO POSTE?,,"{'url': 'https://i.ytimg.com/vi/V9TKXAosDWg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/V9TKXAosDWg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/V9TKXAosDWg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/V9TKXAosDWg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/V9TKXAosDWg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,4,youtube#video,V9TKXAosDWg,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,YY2h8c1t04AkeVayBn9iayD2NIE,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLm5KNC1TYzJSNkhR,2023-06-02T18:16:07Z,UCAGHY76tgzPiiXpJtM1sVCg,"ESTAREMOS NAS RUAS NESTE DOMINGO, 4 DE JUNHO, POR DEMOCRACIA, LIBERDADE E JUSTIÇA!","Contamos com você! 🇧🇷🇧🇷🇧🇷🇧🇷
-
Em Porto Alegre será a partir das 14h30 no Parcão. Traga sua bandeira, bora defender nosso Brasil!","{'url': 'https://i.ytimg.com/vi/nJ4-Sc2R6HQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/nJ4-Sc2R6HQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/nJ4-Sc2R6HQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/nJ4-Sc2R6HQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/nJ4-Sc2R6HQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,5,youtube#video,nJ4-Sc2R6HQ,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,aZMRdrg4V5Flc3TJy7x8rKNue_c,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLmxHZm01amR6NVVN,2023-06-02T01:04:41Z,UCAGHY76tgzPiiXpJtM1sVCg,GOVERNO LULA SOFREU GRANDE DERROTA NA VOTAÇÃO DA MP DA REESTRUTURAÇÃO MINISTERIAL,"Não acreditem nas narrativas petistas de que a aprovação da medida provisória sobre a reestruturação ministerial foi uma vitória. Não foi! Pontos importantes na MP foram alterados e conseguimos manter o COAF no Banco Central; o CAR e a questão dos recursos hídricos ficaram com o Ministério da Gestão, não mais com Meio Ambiente; e também a emenda de minha autoria que devolve para a Agência Nacional de Águas e Saneamento Básico (ANA) a competência sobre o marco do saneamento, que não ficará mais sob o domínio do Ministério das Cidades, evitando assim qualquer tipo de politização em um assunto tão importante para todos. 

A base de Lula na Câmara está insatisfeita, sabe que o governo não cumpre os compromissos e já dá sinais que abandonará o barco. A suposta vitória só ocorreu pela articulação do presidente Arthur Lira e, pelo que se fala nos corredores da Câmara, com a liberação de mais de R$ 1,7 bilhão em emendas parlamentares. Um governo assim não se sustenta. Se ontem não foram aniquilados, em breve serão.","{'url': 'https://i.ytimg.com/vi/lGfm5jdz5UM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/lGfm5jdz5UM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/lGfm5jdz5UM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/lGfm5jdz5UM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/lGfm5jdz5UM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,6,youtube#video,lGfm5jdz5UM,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,eVyZmUmyMK6BNC1SvhG6N64OQC8,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLmVBRWhhdzQxcTVz,2023-06-01T23:48:49Z,UCAGHY76tgzPiiXpJtM1sVCg,VAMOS ÀS RUAS PELO BRASIL!,"O abuso de autoridade do STF e do TSE é cada dia maior no Brasil. Decisões absurdas acontecem quase todos os dias - censura, perseguição política, anulação da condenação de corruptos... Temos que batalhar para que a Justiça volte a ser justa e as leis cumpridas. Nossa liberdade depende disso!

Por isso, nós, @indiarabarbosa.novo e @marcelvanhattem, assim como o @partidonovo30, estaremos nas manifestações deste domingo, dia 4 de junho, que vão ocorrer em todo o Brasil. É nosso dever barrar o autoritarismo, seja do Judiciário ou do governo do PT. Assine o nosso abaixo-assinado pela CPI para investigar os abusos de STF e TSE - novo.org.br/cpi. Venha participar do protesto, traga amigos e familiares! É pela democracia, é pela nossa liberdade! Vamos juntos!

Domingo, 04/06 - a partir de 14h30
Curitiba - Boca Maldita
Porto Alegre - Parcão

#abusodeautoridade #stf #TSE
Marcel van Hattem I Indiara Barbosa","{'url': 'https://i.ytimg.com/vi/eAEhaw41q5s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eAEhaw41q5s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eAEhaw41q5s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eAEhaw41q5s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eAEhaw41q5s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,7,youtube#video,eAEhaw41q5s,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,27yZDprGGnpVX10K_PQhFOU6aZE,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLnRKMDVINlo1SkVv,2023-06-01T14:42:01Z,UCAGHY76tgzPiiXpJtM1sVCg,URGENTE! Pacheco confirma que Lula indicará Zanin ao STF!,"No domingo, 4, eu vou pra rua!","{'url': 'https://i.ytimg.com/vi/tJ05H6Z5JEo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tJ05H6Z5JEo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tJ05H6Z5JEo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tJ05H6Z5JEo/sddefault.jpg', 'width': 640, 'height': 480}",,Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,8,youtube#video,tJ05H6Z5JEo,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,hBMhhIMRODp70w-gnMUaZCHEQA8,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLjM2RDlURGFhaWln,2023-06-01T00:58:44Z,UCAGHY76tgzPiiXpJtM1sVCg,PALHAÇADA E DESRESPEITO NA CÂMARA DOS DEPUTADOS,"A realidade do dia a dia no plenário da Câmara dos Deputados é de um deboche e desrespeito à população brasileira, que escolheu mais de 500 parlamentares que vêm sendo feitos de palhaços. A sessão de hoje foi aberta às 9h 55min da manhã e até às 20h 21min não se sabia sequer se as votações pautadas iriam ou não ocorrer. 

O motivo? Negociatas a portas fechadas para que os líderes partidários decidissem em nome de centenas de parlamentares se a medida provisória do Lula para criação de novos ministérios seria ou não votada. Falam por aí que está em jogo a liberação de R$ 1,7 bilhão em emendas parlamentares. 

Devemos enterrar essa medida provisória para dizer ao povo brasileiro que cada deputado é independente e merece respeito. Não às negociatas!","{'url': 'https://i.ytimg.com/vi/36D9TDaaiig/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/36D9TDaaiig/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/36D9TDaaiig/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/36D9TDaaiig/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/36D9TDaaiig/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,9,youtube#video,36D9TDaaiig,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,kuPlu9HIY1OtRIvnUOXGy0xTskg,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLl90NV8tVHYxOXV3,2023-05-31T21:58:00Z,UCAGHY76tgzPiiXpJtM1sVCg,ENCONTRO ONLINE NA CÂMARA COM JUAN GUAIDÓ EM REPÚDIO A MADURO E HOMENAGEM A TODOS VENEZUELANOS,,"{'url': 'https://i.ytimg.com/vi/_t5_-Tv19uw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_t5_-Tv19uw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_t5_-Tv19uw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_t5_-Tv19uw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_t5_-Tv19uw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,10,youtube#video,_t5_-Tv19uw,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,utU3qE8SbEIhx0PrYhKsETER3eI,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLks3bEcxMDJ1anBF,2023-05-31T15:06:58Z,UCAGHY76tgzPiiXpJtM1sVCg,APROVADA NOSSA MOÇÃO DE REPÚDIO À VINDA DO DITADOR NICOLÁS MADURO AO BRASIL!!!,"Nossa moção de repúdio à vinda do ditador Nicolás Maduro ao Brasil teve 22 votos a favor e 11 contrários. Agora, é a Comissão de Relações Exteriores do Parlamento Nacional que diz, oficialmente: o Brasil REPUDIA a visita oficial do ditador venezuelano ao Brasil!","{'url': 'https://i.ytimg.com/vi/K7lG102ujpE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/K7lG102ujpE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/K7lG102ujpE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/K7lG102ujpE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/K7lG102ujpE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,11,youtube#video,K7lG102ujpE,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,8_7AELNMr_dAx9XWrz1fgUpbjdU,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLkdoN284VlU1bERV,2023-05-31T00:59:36Z,UCAGHY76tgzPiiXpJtM1sVCg,SENHOR DE ESCRAVOS É NICOLAS MADURO!,"A esquerda hipócrita durante a votação do Marco Temporal das terras indígenas bradava no plenário que o projeto acabaria por escravizar os índios. Uma mentira deslavada! O projeto aprovado trará mais segurança jurídica para todos os brasileiros, proprietários de terras, indígenas, pequeno produtor, todos, sem exceção. 

Como falei na sessão de hoje, o verdadeiro senhor dos escravos está circulando pelo Palácio do Planalto com todo o apoio de Lula e ele se chama: Nicolás Maduro. O Marco Temporal agora será analisado pelo Senado.","{'url': 'https://i.ytimg.com/vi/Gh7o8VU5lDU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Gh7o8VU5lDU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Gh7o8VU5lDU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Gh7o8VU5lDU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Gh7o8VU5lDU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,12,youtube#video,Gh7o8VU5lDU,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,QBWSx0guNVd4DOib1UFLQgV17J8,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLldYZ2tpdXBLS1ZR,2023-05-30T21:03:34Z,UCAGHY76tgzPiiXpJtM1sVCg,O BRASIL PRECISA DE MAIS JURISTAS COMO IVES GANDRA,"Há pouco participei de audiência pública na Câmara dos Deputados sobre as decisões dos tribunais eleitorais, muitas eivadas de irregularidades, e pude elogiar pessoalmente o jurista Ives Gandra - um dos poucos nomes do direito brasileiro que tem vindo a publico em defesa do Estado de Direito e da nossa Constituição. 

É frustrante e provoca indignação este silêncio que tem imperado justamente dentre aqueles que deveriam se voltar contra decisões que não têm mais nada de jurídicas e passaram a ser políticas. O que o TSE fez contra Deltan Dallagnol e seus quase 350 mil eleitores é de uma ilegalidade e inconstitucionalidade sem tamanho. 

Como falei ao doutor Ives Gandra, espero que muitos outros adotem sua postura e que juntem-se a nós o mais rapidamente possível contra todo e qualquer tipo de arbítrio no nosso país.","{'url': 'https://i.ytimg.com/vi/WXgkiupKKVQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/WXgkiupKKVQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/WXgkiupKKVQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/WXgkiupKKVQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/WXgkiupKKVQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,13,youtube#video,WXgkiupKKVQ,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,sOBzRgir0e2pignfgYXvCAkzsTI,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLkNmUnYtOUh5OWQ4,2023-05-30T19:17:07Z,UCAGHY76tgzPiiXpJtM1sVCg,"QUE NARRATIVA, LULA?",,"{'url': 'https://i.ytimg.com/vi/CfRv-9Hy9d8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/CfRv-9Hy9d8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/CfRv-9Hy9d8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/CfRv-9Hy9d8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/CfRv-9Hy9d8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,14,youtube#video,CfRv-9Hy9d8,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,V-ZohVz3pPb8iRr13_-BNSdX2tE,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLndMUExCRnN3Tjlj,2023-05-30T12:18:46Z,UCAGHY76tgzPiiXpJtM1sVCg,"SE VOCÊ QUISER, FIQUE EM CASA. EU VOU PRA RUA NO DOMINGO, 4 DE JUNHO!",,"{'url': 'https://i.ytimg.com/vi/wLPLBFswN9c/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/wLPLBFswN9c/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/wLPLBFswN9c/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/wLPLBFswN9c/sddefault.jpg', 'width': 640, 'height': 480}",,Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,15,youtube#video,wLPLBFswN9c,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,Xt-AdZWrVRGOJyhPw7dkJFLd9K4,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLm1HZ05SSjBDMDhr,2023-05-29T23:59:36Z,UCAGHY76tgzPiiXpJtM1sVCg,O CIDADÃO NÃO DEVE TER MEDO DE SAIR ÀS RUAS POR SEUS DIREITOS,"O momento é crítico no nosso país, com sucessivas agressões às liberdades individuais, à nossa Constituição e ao Estado de Direito. Mas isso não pode nos paralisar! Pelo contrário, devemos nos manifestar, cada vez mais, para garantir nossos direitos. Como já dizia Ulysses Guimarães, não há nada que dê mais medo em políticos e poderosos do que o POVO NAS RUAS!

Falei sobre esse assunto há poucos dias durante palestra em Rio Grande, organizada pelo Congresso Conservador. A íntegra da minha fala você confere aqui.","{'url': 'https://i.ytimg.com/vi/mGgNRJ0C08k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mGgNRJ0C08k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mGgNRJ0C08k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mGgNRJ0C08k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mGgNRJ0C08k/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,16,youtube#video,mGgNRJ0C08k,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
youtube#playlistItem,HewL2oe61ByalBHVPpxO_IATA7c,VVVBR0hZNzZ0Z3pQaWlYcEp0TTFzVkNnLjJ2R0duNTZJYm9Z,2023-05-27T02:12:08Z,UCAGHY76tgzPiiXpJtM1sVCg,NÃO PODEMOS FICAR CALADOS DIANTE DO QUE OCORRE NO BRASIL,"Não dá mais! O Brasil precisa demonstrar que não concorda com os abusos que estão ocorrendo no país. Por isso é tão importante que a população vá às ruas em defesa da democracia, da liberdade e da justiça. 

Deltan Dallganol foi cassado de forma ilegal, o presidente da CPI do MST, deputado Tenente-Coronel Zucco, e o autor do pedido da CPMI de 8 de janeiro, deputado André Fernandes, são alvos de inquéritos conduzidos por Alexandre de Moraes. Centenas estão presos injustamente, Daniel Silveira está preso por crime de opinião mesmo após indulto. Tudo absurdo!

Como disse há pouco no programa Oeste Sem Filtro, não há coincidência em política. Não podemos correr o risco de que mais deputados sejam cassados, que os votos dos brasileiros sejam colocados no lixo. A importância do apoio da população nas ruas é cada vez mais importante - sem isso, vamos apenas perder direitos e liberdades mais rapidamente, a cada dia que passa.","{'url': 'https://i.ytimg.com/vi/2vGGn56IboY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2vGGn56IboY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2vGGn56IboY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2vGGn56IboY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2vGGn56IboY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Marcel van Hattem,UUAGHY76tgzPiiXpJtM1sVCg,17,youtube#video,2vGGn56IboY,Marcel van Hattem,UCAGHY76tgzPiiXpJtM1sVCg,EAAaBlBUOkNESQ,2023-06-06 00:29:57.165479
