kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,-Fs9T_VNzvgH6yEviKQmd8-y8FE,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLlotZGFzQVBOWGxr,2023-06-05T09:00:17Z,UCEoslUVXeGLIFtyp9ZfnGug,SEGREDO PARA NÃO PERDER O PROPÓSITO | SILAS MALAFAIA - MOTIVACIONAL,"Uma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. 

ME SIGA NAS OUTRAS REDES: 
- Instagram: http://bit.ly/InstagramSilasMalafaia 
- Facebook: http://bit.ly/FacebookSilasMalafaia 
- Twitter: http://bit.ly/TwitterSilasMalafaia 

SITE: http://bit.ly/SiteSilasMalafaia 

#silasmalafaia #motivacional","{'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Z-dasAPNXlk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,0,youtube#video,Z-dasAPNXlk,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,msyvQHPja08NGJGyP_V-PMy9_-o,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmU2cklDSWFON1Jn,2023-06-03T12:34:33Z,UCEoslUVXeGLIFtyp9ZfnGug,PROGRAMA VITÓRIA EM CRISTO | 03.06.23,PROGRAMA VITÓRIA EM CRISTO | 03.06.23,"{'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/e6rICIaN7Rg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,1,youtube#video,e6rICIaN7Rg,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,VBOMmBW5aqQJN6dCHp5Lw8_lZNQ,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLlpacUNFMVpBR3V3,2023-06-02T21:00:15Z,UCEoslUVXeGLIFtyp9ZfnGug,A TEMPESTADE TEM HORA PARA ACABAR- Pastor Silas Malafaia,"Uma palavra profética para você!

Assista à mensagem completa: https://www.youtube.com/watch?v=jObItCvClcQ","{'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ZZqCE1ZAGuw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,2,youtube#video,ZZqCE1ZAGuw,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,4jDoMnH1K-U82wBqg1NGFxAvRkI,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLi1RbGd2UU9sLWlB,2023-06-01T09:00:00Z,UCEoslUVXeGLIFtyp9ZfnGug,HÁ UM DEUS QUE TRABALHA EM SEU FAVOR | SILAS MALAFAIA - MOTIVACIONAL,"Uma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. 

ME SIGA NAS OUTRAS REDES: 
- Instagram: http://bit.ly/InstagramSilasMalafaia 
- Facebook: http://bit.ly/FacebookSilasMalafaia 
- Twitter: http://bit.ly/TwitterSilasMalafaia 

SITE: http://bit.ly/SiteSilasMalafaia 

#silasmalafaia #motivacional","{'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/-QlgvQOl-iA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,3,youtube#video,-QlgvQOl-iA,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,JAsgVM7yly6D33kC_xVWu7YzAoo,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLjZEYVhfYXBkU2Fj,2023-05-31T18:30:14Z,UCEoslUVXeGLIFtyp9ZfnGug,O MAIOR INIMIGO QUE TEMOS NÃO É O DIABO - Pastor Silas Malafaia,"O maior inimigo que temos não é o diabo, é a falta de conhecimento. 

Assista à mensagem completa: https://youtube.com/live/6RcDBY0B-t0","{'url': 'https://i.ytimg.com/vi/6DaX_apdSac/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6DaX_apdSac/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6DaX_apdSac/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6DaX_apdSac/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6DaX_apdSac/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,4,youtube#video,6DaX_apdSac,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,Zv1WXxmYaQ_xnW0rOnD4APSQFsA,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLkM3SUN3azNvV3p3,2023-05-29T09:00:07Z,UCEoslUVXeGLIFtyp9ZfnGug,ESTÁ CHEGANDO A HORA DA VIRADA! | SILAS MALAFAIA - MOTIVACIONAL,"Não murmure e não perca o ânimo, porque está chegando a hora da virada!

Uma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. 

ME SIGA NAS OUTRAS REDES: 
- Instagram: http://bit.ly/InstagramSilasMalafaia 
- Facebook: http://bit.ly/FacebookSilasMalafaia 
- Twitter: http://bit.ly/TwitterSilasMalafaia 

SITE: http://bit.ly/SiteSilasMalafaia 

#silasmalafaia #motivacional","{'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/C7ICwk3oWzw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,5,youtube#video,C7ICwk3oWzw,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,egHTtSiDkeoCT_vk4qehaWVPOp4,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmFVeFNxQWxCV0VZ,2023-05-27T12:39:27Z,UCEoslUVXeGLIFtyp9ZfnGug,PROGRAMA VITÓRIA EM CRISTO | 27.05.23,PROGRAMA VITÓRIA EM CRISTO | 27.05.23,"{'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/aUxSqAlBWEY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,6,youtube#video,aUxSqAlBWEY,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,8xgKCfPEIZYJtQ_ymZ5LdS3eZFA,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmVvS0ppcFBoS21F,2023-05-26T21:00:16Z,UCEoslUVXeGLIFtyp9ZfnGug,POR QUE AS PEDRADAS QUE LEVAMOS DOEM? - Pastor Silas Malafaia,"Por que as pedradas que levamos na vida doem tanto?



Assista à mensagem completa em https://youtube.com/live/N3BiazXnkPY","{'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/eoKJipPhKmE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,7,youtube#video,eoKJipPhKmE,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,MWBFDXL2ZMvkRDWJ88MmsKtO7bU,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLllfOXNnbkpLUDl3,2023-05-26T17:33:06Z,UCEoslUVXeGLIFtyp9ZfnGug,21º CONGRESSO FOGO PARA O BRASIL,"Bem-vindo ao meu canal YouTube. Você pode se inscrever clicando aqui http://smarturl.it/silasmalafaiayoutube

Ouça minhas mensagens no celular: http://smarturl.it/mensagenspastorsilas 

Incansável pregador do evangelho desde a sua juventude, pastor Silas é reconhecido no Brasil e no exterior por seu ministério frutífero e expressivo até mesmo no meio secular. O pastor Silas coordena e apresenta o programa Vitória em Cristo, que está há 35 anos ininterruptos na televisão brasileira. Transmitido para várias cidades do Brasil, aos sábados, das 12h às 13h, pela TV Bandeirantes, o programa anuncia o evangelho e defende os princípios e valores da Palavra de Deus.

Facebook: https://www.facebook.com/SilasMalafaia/ 

Instagram: https://www.instagram.com/pastormalafaiaoficial/ 

Twitter: https://twitter.com/pastormalafaia","{'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Y_9sgnJKP9w/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,8,youtube#video,Y_9sgnJKP9w,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,C_95RMfOHCdIIbzN68PjtDodk4A,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLndvUVdfLVJ6QVA0,2023-05-26T00:58:56Z,UCEoslUVXeGLIFtyp9ZfnGug,SANTA CEIA MANHÃ | Pr. Silas Malafaia | 04/06/2023,"Bem-vindo ao meu canal do YouTube!

Incansável pregador do evangelho desde a sua juventude, o pastor Silas Malafaia é reconhecido no Brasil e no exterior por seu ministério frutífero e expressivo até mesmo no meio secular. O pastor Silas coordena e apresenta o programa Vitória em Cristo, que está há 40 anos ininterruptos na televisão brasileira. Transmitido para várias cidades do Brasil, aos sábados, às 9h, pela RedeTV, o programa anuncia o evangelho e defende os princípios e valores da Palavra de Deus.

Facebook: https://www.facebook.com/SilasMalafaia/ 

Instagram: https://www.instagram.com/silasmalafaia/

Twitter: https://twitter.com/pastormalafaia 

#SilasMalafaia","{'url': 'https://i.ytimg.com/vi/woQW_-RzAP4/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/woQW_-RzAP4/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/woQW_-RzAP4/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/woQW_-RzAP4/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/woQW_-RzAP4/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,9,youtube#video,woQW_-RzAP4,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,Bk1eBqDsSp4knQFANOHlauXAY2g,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLjZSY0RCWTBCLXQw,2023-05-26T00:19:37Z,UCEoslUVXeGLIFtyp9ZfnGug,Pastor Silas Malafaia - Verdades que precisamos conhecer,"Bem-vindo ao meu canal do YouTube!

Incansável pregador do evangelho desde a sua juventude, o pastor Silas Malafaia é reconhecido no Brasil e no exterior por seu ministério frutífero e expressivo até mesmo no meio secular. O pastor Silas coordena e apresenta o programa Vitória em Cristo, que está há 40 anos ininterruptos na televisão brasileira. Transmitido para várias cidades do Brasil, aos sábados, às 9h, pela RedeTV, o programa anuncia o evangelho e defende os princípios e valores da Palavra de Deus.

Facebook: https://www.facebook.com/SilasMalafaia/ 

Instagram: https://www.instagram.com/silasmalafaia/

Twitter: https://twitter.com/pastormalafaia 

#SilasMalafaia","{'url': 'https://i.ytimg.com/vi/6RcDBY0B-t0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6RcDBY0B-t0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6RcDBY0B-t0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6RcDBY0B-t0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6RcDBY0B-t0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,10,youtube#video,6RcDBY0B-t0,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,j6ldom9eUAfzV847mEABE_wC8wg,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLnpzSDYtVGlwa0V3,2023-05-24T21:00:35Z,UCEoslUVXeGLIFtyp9ZfnGug,NÃO ABANDONE O BARCO - Pastor Silas Malafaia,"Por pior que seja a tempestade, não saia do barco!

Assista à mensagem completa em https://youtube.com/live/jObItCvClcQ","{'url': 'https://i.ytimg.com/vi/zsH6-TipkEw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zsH6-TipkEw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zsH6-TipkEw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zsH6-TipkEw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zsH6-TipkEw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,11,youtube#video,zsH6-TipkEw,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,Wwacw7JSZeu75CLLiRsRoq3dpcs,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmRUQllMUTNfVWFJ,2023-05-23T13:55:00Z,UCEoslUVXeGLIFtyp9ZfnGug,NÃO ABORTE O PROPÓSITO DE DEUS PARA VOCÊ | SILAS MALAFAIA - MOTIVACIONAL,"Somente a sua decisão e as suas atitudes é que podem atrapalhar aquilo que o Senhor tem para sua vida.

Uma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. 

ME SIGA NAS OUTRAS REDES: 
- Instagram: http://bit.ly/InstagramSilasMalafaia 
- Facebook: http://bit.ly/FacebookSilasMalafaia 
- Twitter: http://bit.ly/TwitterSilasMalafaia 

SITE: http://bit.ly/SiteSilasMalafaia 

#silasmalafaia #motivacional","{'url': 'https://i.ytimg.com/vi/dTBYLQ3_UaI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/dTBYLQ3_UaI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/dTBYLQ3_UaI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/dTBYLQ3_UaI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/dTBYLQ3_UaI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,12,youtube#video,dTBYLQ3_UaI,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,9M63ehKDp27WWCjSu_za5QNF9WY,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLmlFSUJEbmRJeDNB,2023-05-20T12:35:29Z,UCEoslUVXeGLIFtyp9ZfnGug,PROGRAMA VITÓRIA EM CRISTO | 20.05.23,PROGRAMA VITÓRIA EM CRISTO | 20.05.23,"{'url': 'https://i.ytimg.com/vi/iEIBDndIx3A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/iEIBDndIx3A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/iEIBDndIx3A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/iEIBDndIx3A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/iEIBDndIx3A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,13,youtube#video,iEIBDndIx3A,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,ZDDwFIb4Ctm1nMELbaFT53wyM5c,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLlZraWxPaUtpOEhr,2023-05-19T16:41:40Z,UCEoslUVXeGLIFtyp9ZfnGug,ILEGAL! IMORAL! INESCRUPULOSA! A cassação de Dallagnol,"Bem-vindo ao meu canal do YouTube!

Incansável pregador do evangelho desde a sua juventude, o pastor Silas Malafaia é reconhecido no Brasil e no exterior por seu ministério frutífero e expressivo até mesmo no meio secular. O pastor Silas coordena e apresenta o programa Vitória em Cristo, que está há 40 anos ininterruptos na televisão brasileira. Transmitido para várias cidades do Brasil, aos sábados, às 9h, pela RedeTV, o programa anuncia o evangelho e defende os princípios e valores da Palavra de Deus.

Facebook: https://www.facebook.com/SilasMalafaia/ 

Instagram: https://www.instagram.com/silasmalafaia/

Twitter: https://twitter.com/pastormalafaia 

#SilasMalafaia","{'url': 'https://i.ytimg.com/vi/VkilOiKi8Hk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/VkilOiKi8Hk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/VkilOiKi8Hk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/VkilOiKi8Hk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/VkilOiKi8Hk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,14,youtube#video,VkilOiKi8Hk,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,9Rdv4Jbblzfe8B8AWkaw3Chc72E,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLkhEQkpEeExjNXFR,2023-05-18T21:00:08Z,UCEoslUVXeGLIFtyp9ZfnGug,O DESERTO PREPARA VOCÊ PARA O PROPÓSITO - Pastor Silas Malafaia,"Está passando pelo deserto? Entenda por que é necessário.

Assista à mensagem completa em https://youtube.com/live/3OAKd-cIbYo","{'url': 'https://i.ytimg.com/vi/HDBJDxLc5qQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/HDBJDxLc5qQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/HDBJDxLc5qQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/HDBJDxLc5qQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/HDBJDxLc5qQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,15,youtube#video,HDBJDxLc5qQ,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,3pCqPeOQlKXnyjit5xJizO4-So4,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLnZTTVdITUZISHFJ,2023-05-18T09:00:29Z,UCEoslUVXeGLIFtyp9ZfnGug,DEUS ESTÁ AGINDO | SILAS MALAFAIA - MOTIVACIONAL,"Talvez você não esteja percebendo, mas Deus está agindo na sua vida! 

Uma palavra de ânimo para você começar o seu dia! Receba essa porção da Palavra de Deus como um motivacional para a sua vida. 

ME SIGA NAS OUTRAS REDES: 
- Instagram: http://bit.ly/InstagramSilasMalafaia 
- Facebook: http://bit.ly/FacebookSilasMalafaia 
- Twitter: http://bit.ly/TwitterSilasMalafaia 

SITE: http://bit.ly/SiteSilasMalafaia 

#silasmalafaia #motivacional","{'url': 'https://i.ytimg.com/vi/vSMWHMFHHqI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/vSMWHMFHHqI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/vSMWHMFHHqI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/vSMWHMFHHqI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/vSMWHMFHHqI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,16,youtube#video,vSMWHMFHHqI,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
youtube#playlistItem,0W0wmvU1NL37Agm98ti7sJ4c5qg,VVVFb3NsVVZYZUdMSUZ0eXA5WmZuR3VnLk84WXJzSC0wWXlR,2023-05-17T16:58:50Z,UCEoslUVXeGLIFtyp9ZfnGug,VERGONHA TOTAL! Deltan Dallagnol cassado,"Bem-vindo ao meu canal do YouTube!

Incansável pregador do evangelho desde a sua juventude, o pastor Silas Malafaia é reconhecido no Brasil e no exterior por seu ministério frutífero e expressivo até mesmo no meio secular. O pastor Silas coordena e apresenta o programa Vitória em Cristo, que está há 40 anos ininterruptos na televisão brasileira. Transmitido para várias cidades do Brasil, aos sábados, às 9h, pela RedeTV, o programa anuncia o evangelho e defende os princípios e valores da Palavra de Deus.

Facebook: https://www.facebook.com/SilasMalafaia/ 

Instagram: https://www.instagram.com/silasmalafaia/

Twitter: https://twitter.com/pastormalafaia 

#SilasMalafaia","{'url': 'https://i.ytimg.com/vi/O8YrsH-0YyQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/O8YrsH-0YyQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/O8YrsH-0YyQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/O8YrsH-0YyQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/O8YrsH-0YyQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Silas Malafaia Oficial,UUEoslUVXeGLIFtyp9ZfnGug,17,youtube#video,O8YrsH-0YyQ,Silas Malafaia Oficial,UCEoslUVXeGLIFtyp9ZfnGug,EAAaBlBUOkNESQ,2023-06-06 00:52:53.499966
