kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,0hW1t_rGWH8LbK20QxBoMgcSdMg,UgwKbNzpHXHKwVnXtQ54AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'DKc5RQqTnzvIMfYwd0pqN1OA4xs', 'id': 'UgwKbNzpHXHKwVnXtQ54AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'Preso não deveria votar', 'textOriginal': 'Preso não deveria votar', 'authorDisplayName': 'Wagner Ferreira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/oIgn4AA1kWgVPlJvvZPAQfAgfXzkZ3VXCvsYJAhD4385-c5UhfHUZTmyMsx3CKUubBI3ulwn=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC45l_bBrY30MF_VV9tdtqfA', 'authorChannelId': {'value': 'UC45l_bBrY30MF_VV9tdtqfA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2023-03-24T00:10:12Z', 'updatedAt': '2023-03-24T00:10:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC45l_bBrY30MF_VV9tdtqfA,2023-03-24T00:10:12Z,Preso não deveria votar,,2023-06-09 12:32:41.817841
youtube#commentThread,YRaX8fgcf31_6LnZD_nZgJLECdk,UgzfGCjp_Sx3GX3e_Mh4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NrmQHbMi-PtzpbFgFygjcoQrOX8', 'id': 'UgzfGCjp_Sx3GX3e_Mh4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'Brasileros traidores canviaron un patriota por un mafioso ..judas  ignorantes', 'textOriginal': 'Brasileros traidores canviaron un patriota por un mafioso ..judas  ignorantes', 'authorDisplayName': 'Javier Nuñez', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMXzPZ1rHJ65gCoPUhkczEeOHI-foEjCHnvpbIAoyLcVS16lHZLU8tqT9M54VTo=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCg9Yhf_bWM-A-pefiEN3ctw', 'authorChannelId': {'value': 'UCg9Yhf_bWM-A-pefiEN3ctw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-24T00:15:10Z', 'updatedAt': '2023-02-24T00:15:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCg9Yhf_bWM-A-pefiEN3ctw,2023-02-24T00:15:10Z,Brasileros traidores canviaron un patriota por un mafioso ..judas  ignorantes,,2023-06-09 12:32:41.817841
youtube#commentThread,dORybP3XRk_MktQyMwfJmWY4n-Y,UgxSvDz55oLua-jVy7B4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4BZI_6zkQCW-wBVEhSFAamTqflc', 'id': 'UgxSvDz55oLua-jVy7B4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'INFELIZMENTE ESSE 👹 ESQUERDALHA VAI CONTINUAR INFERNIZANDO NOSSAS VIDAS ATÉ OS ÚLTIMOS DIAS DE SUA MISERÁVEL VIDA......', 'textOriginal': 'INFELIZMENTE ESSE 👹 ESQUERDALHA VAI CONTINUAR INFERNIZANDO NOSSAS VIDAS ATÉ OS ÚLTIMOS DIAS DE SUA MISERÁVEL VIDA......', 'authorDisplayName': 'Tina Santurion', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNn_A5KN5ToB5HkS8snSsUI-Tqxw7Ehv_ttOA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCL68HpCXCtdtS7qIi5-gIUg', 'authorChannelId': {'value': 'UCL68HpCXCtdtS7qIi5-gIUg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-11T00:56:06Z', 'updatedAt': '2023-02-11T00:56:06Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCL68HpCXCtdtS7qIi5-gIUg,2023-02-11T00:56:06Z,INFELIZMENTE ESSE 👹 ESQUERDALHA VAI CONTINUAR INFERNIZANDO NOSSAS VIDAS ATÉ OS ÚLTIMOS DIAS DE SUA MISERÁVEL VIDA......,,2023-06-09 12:32:41.817841
youtube#commentThread,MxDE7JEQwt6cF4DzW59XnEPQgXs,Ugw9J2xOwT-geLkOc0l4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QD4rLY6ka-kKZ8OZYU5bwYpYgsc', 'id': 'Ugw9J2xOwT-geLkOc0l4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'É, ele já está em Brasília, tô esperando pra ver qual ministério ele vai assumir....', 'textOriginal': 'É, ele já está em Brasília, tô esperando pra ver qual ministério ele vai assumir....', 'authorDisplayName': 'Carlos Lima', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPD2e3f_3zq6eIfl0KlIiIF6qgNhOKCp2qTljxfeg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCV48LirYuHEr7ftHcm-6r3g', 'authorChannelId': {'value': 'UCV48LirYuHEr7ftHcm-6r3g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-02-01T20:05:57Z', 'updatedAt': '2023-02-01T20:05:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCV48LirYuHEr7ftHcm-6r3g,2023-02-01T20:05:57Z,"É, ele já está em Brasília, tô esperando pra ver qual ministério ele vai assumir....",,2023-06-09 12:32:41.817841
youtube#commentThread,J8x1hcW2eefWNmjU7YM23E-4TZY,Ugysua7eWZkHKEkc0ud4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5Jel5NwoBd6JkhXVNB5oTiodHro', 'id': 'Ugysua7eWZkHKEkc0ud4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'PT= PARTIDO TERRORISTA A GRANDE MÁFIA BRASILEIRA!', 'textOriginal': 'PT= PARTIDO TERRORISTA A GRANDE MÁFIA BRASILEIRA!', 'authorDisplayName': 'Caio Henrique', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOqsQl7qXiquum87p2lCxq4IGX77OYOj7-ns71elQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVfjL_trrmOc6TR5ttW8oag', 'authorChannelId': {'value': 'UCVfjL_trrmOc6TR5ttW8oag'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2023-01-17T07:08:44Z', 'updatedAt': '2023-01-17T07:08:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVfjL_trrmOc6TR5ttW8oag,2023-01-17T07:08:44Z,PT= PARTIDO TERRORISTA A GRANDE MÁFIA BRASILEIRA!,,2023-06-09 12:32:41.817841
youtube#commentThread,tQALu-JWrWstMqXxhivaJoNESrk,UgzlWlUPjEON61pYwAh4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HCBy2BB2Pz_z3KHcwktSXc-CkK8', 'id': 'UgzlWlUPjEON61pYwAh4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'Só do fato de 90% da população carcerária do país votar no molusco algo está muito errado', 'textOriginal': 'Só do fato de 90% da população carcerária do país votar no molusco algo está muito errado', 'authorDisplayName': 'Rodrigo Augusto Oliveira Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOfBH4ZXl3Zig3xrSK-zgioky2mGCkYDTazGQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCik-9gNARcxpI3bSawxvJWw', 'authorChannelId': {'value': 'UCik-9gNARcxpI3bSawxvJWw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-23T18:17:39Z', 'updatedAt': '2022-12-23T18:17:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCik-9gNARcxpI3bSawxvJWw,2022-12-23T18:17:39Z,Só do fato de 90% da população carcerária do país votar no molusco algo está muito errado,,2023-06-09 12:32:41.817841
youtube#commentThread,vChAR3aJqZgB-oI01g23odt_Mwo,UgwGZxHlXhMT6cwDWRN4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Wa5Co-ayi9mz7Wq7y5AcDqgLi4w', 'id': 'UgwGZxHlXhMT6cwDWRN4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'É que bandido apoia e vota em bandido mesmo😨já nós pessoas de bem votamos em pessoas de boa índole e bom carater👐👐✌💚💛', 'textOriginal': 'É que bandido apoia e vota em bandido mesmo😨já nós pessoas de bem votamos em pessoas de boa índole e bom carater👐👐✌💚💛', 'authorDisplayName': 'Ambrosia Gaioch', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNipzQl-vrsaOz2d3J7w9QGFNqzPP5tHSTQ-w=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCQNkmcOzrOzXQw1sES8UuFw', 'authorChannelId': {'value': 'UCQNkmcOzrOzXQw1sES8UuFw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-12-14T01:08:01Z', 'updatedAt': '2022-12-14T01:08:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCQNkmcOzrOzXQw1sES8UuFw,2022-12-14T01:08:01Z,É que bandido apoia e vota em bandido mesmo😨já nós pessoas de bem votamos em pessoas de boa índole e bom carater👐👐✌💚💛,,2023-06-09 12:32:41.817841
youtube#commentThread,DB8Q3tfDvQAMtIRagWXr-5xK1kI,UgwO4W8_3gOq9shNHLB4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3LoxM8tt3do44gAhJCx7Hp3SJKs', 'id': 'UgwO4W8_3gOq9shNHLB4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'Sem amigos Marcola fico preso!!!<br>Muito injusto', 'textOriginal': 'Sem amigos Marcola fico preso!!!\\nMuito injusto', 'authorDisplayName': 'Elena Fernandez', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPIdi3HWwJUN0pW2TntTKbBbtiuCNK2EAo9tg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC65xhcTJ3Nh0XgA-3H9lRFQ', 'authorChannelId': {'value': 'UC65xhcTJ3Nh0XgA-3H9lRFQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-12T12:18:45Z', 'updatedAt': '2022-11-12T12:19:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC65xhcTJ3Nh0XgA-3H9lRFQ,2022-11-12T12:18:45Z,"Sem amigos Marcola fico preso!!!
Muito injusto",,2023-06-09 12:32:41.817841
youtube#commentThread,E_mU8IMmoFg7uag0Ku8UNQqmZYM,UgxDhLljMIsO3xNBOvh4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '43VCOnAb1eBDI2qTmQx5cS0yQUI', 'id': 'UgxDhLljMIsO3xNBOvh4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': '🇧🇷👉🇧🇷👈 PÁTRIA AMADA BRASIL 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': '🇧🇷👉🇧🇷👈 PÁTRIA AMADA BRASIL 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T19:53:13Z', 'updatedAt': '2022-10-06T19:53:13Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:53:13Z,🇧🇷👉🇧🇷👈 PÁTRIA AMADA BRASIL 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,OKPuJTooBhhHS9TEHw3fOM7mdmU,Ugxb6bFCNlw4WKT4Zo14AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'JFQu6Nav0V7F6G7ENWDlxT-t4XA', 'id': 'Ugxb6bFCNlw4WKT4Zo14AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'VOTEI E VOTO DE NOVO EM BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷', 'textOriginal': 'VOTEI E VOTO DE NOVO EM BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-06T19:52:34Z', 'updatedAt': '2022-10-06T19:52:34Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:52:34Z,VOTEI E VOTO DE NOVO EM BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,iqeOPcqYOIKjSBArhttovmfth40,UgzavNCwOoi2DDqnLmJ4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'XXhQXff0wGQCw4mmGLici18wGoE', 'id': 'UgzavNCwOoi2DDqnLmJ4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'BOLSONARO 2022 - RUMO A VITÓRIA 👉🇧🇷👈🇧🇷🇧🇷🇧🇷', 'textOriginal': 'BOLSONARO 2022 - RUMO A VITÓRIA 👉🇧🇷👈🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T19:52:02Z', 'updatedAt': '2022-10-06T19:52:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:52:02Z,BOLSONARO 2022 - RUMO A VITÓRIA 👉🇧🇷👈🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,CgcLG5oO7vclr5QNL5hhMItS7QQ,Ugw37vVKTp7uFj6b5LR4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iOU9BLti9q1fuIisRrbKv5YdLNg', 'id': 'Ugw37vVKTp7uFj6b5LR4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': '🇧🇷 BRASIL ACIMA DE TUDO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': '🇧🇷 BRASIL ACIMA DE TUDO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T19:51:08Z', 'updatedAt': '2022-10-06T19:51:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:51:08Z,🇧🇷 BRASIL ACIMA DE TUDO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,29OnPnI1YlmjtDHQZQ7u0bnB5DU,UgzwqS_CsZs_FOVcddR4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hyCU2afYtuQDbHGao8vTeEodA4A', 'id': 'UgzwqS_CsZs_FOVcddR4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': '🇧🇷DEUS ACIMA DE TODOS 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': '🇧🇷DEUS ACIMA DE TODOS 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T19:50:48Z', 'updatedAt': '2022-10-06T19:50:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:50:48Z,🇧🇷DEUS ACIMA DE TODOS 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,O0GOWaHokzh8w7t7DBOiR1syyFw,UgypU4TLV4974C-mWUV4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'qG2jfwVKDrGTvUaMQOIGlW6lL_M', 'id': 'UgypU4TLV4974C-mWUV4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'FECHADO COM BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': 'FECHADO COM BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-06T19:50:12Z', 'updatedAt': '2022-10-06T19:50:12Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:50:12Z,FECHADO COM BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,_a5kcCN-eqEevAdEtv-UxLRi3Ps,UgxQY81gzOwc_ibhcAx4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2K60JkqCsbXfmj2DRckeWGYwv6M', 'id': 'UgxQY81gzOwc_ibhcAx4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'SOMOS TODOS BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'textOriginal': 'SOMOS TODOS BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-06T19:49:45Z', 'updatedAt': '2022-10-06T19:49:45Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:49:45Z,SOMOS TODOS BOLSONARO 👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,EBctbY_Q5au6UZDZQWjJNIgKgbw,UgyjYY9Rd9YA5QCOwe14AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sgXpe09N5-ulCHz3TCMJqhpxIf8', 'id': 'UgyjYY9Rd9YA5QCOwe14AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'BOLSONARO REELEITO 2022👉🇧🇷👈🇧🇷🇧🇷🇧🇷', 'textOriginal': 'BOLSONARO REELEITO 2022👉🇧🇷👈🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T19:48:21Z', 'updatedAt': '2022-10-06T19:48:21Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:48:21Z,BOLSONARO REELEITO 2022👉🇧🇷👈🇧🇷🇧🇷🇧🇷,,2023-06-09 12:32:41.817841
youtube#commentThread,n-RoOi7tY_1vPbJOe02wktQ5880,Ugw0UhgkWHIiNAGsSGd4AaABAg,"{'videoId': 'eL-ywsRDuzM', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rrltaNLfUpgmrztsD0EbqYMuqKk', 'id': 'Ugw0UhgkWHIiNAGsSGd4AaABAg', 'snippet': {'videoId': 'eL-ywsRDuzM', 'textDisplay': 'ELES SE ENTENDEM!!! MESMO IDEAIS!!!👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷👉🇧🇷👈🇧🇷🇧🇷🇧🇷👉🇧🇷👈', 'textOriginal': 'ELES SE ENTENDEM!!! MESMO IDEAIS!!!👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷👉🇧🇷👈🇧🇷🇧🇷🇧🇷👉🇧🇷👈', 'authorDisplayName': 'Noel Dias Pereira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPoPIRTNcuDYrS_dIRgWHqdDd7qaUzhElqzww=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCXZNWVe8lU3aGa7FcmDH6xA', 'authorChannelId': {'value': 'UCXZNWVe8lU3aGa7FcmDH6xA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-06T19:47:55Z', 'updatedAt': '2022-10-06T19:47:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCXZNWVe8lU3aGa7FcmDH6xA,2022-10-06T19:47:55Z,ELES SE ENTENDEM!!! MESMO IDEAIS!!!👉🇧🇷👈🇧🇷🇧🇷🇧🇷🇧🇷👉🇧🇷👈🇧🇷🇧🇷🇧🇷👉🇧🇷👈,,2023-06-09 12:32:41.817841
