kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,1GcYAlV9q6vt1PmX_br_1TAQZJE,Ugymc8prTQNSfTxw_jx4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ne7nIga_Tl9e_Gi9OEHBYWVaRJk', 'id': 'Ugymc8prTQNSfTxw_jx4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': '\\U0001faf5\\U0001faf5\\U0001faf5\\U0001faf5 EX PRESIDIÁRIO DILMAA NUNCA GANHARAM QUALQUER ELEIÇÃO BRAZIL<br>MINISTROS SUPREMO TSE EX PRESIDIÁRIO CONGRESSO INSTITUIÇÕES APARELHADAS MÍDIA \\U0001faf5 TODOS ENVOLVIDOS CRIME TRAIÇÃO PATRIA \\U0001faf5 EXECUÇÃO', 'textOriginal': '\\U0001faf5\\U0001faf5\\U0001faf5\\U0001faf5 EX PRESIDIÁRIO DILMAA NUNCA GANHARAM QUALQUER ELEIÇÃO BRAZIL\\nMINISTROS SUPREMO TSE EX PRESIDIÁRIO CONGRESSO INSTITUIÇÕES APARELHADAS MÍDIA \\U0001faf5 TODOS ENVOLVIDOS CRIME TRAIÇÃO PATRIA \\U0001faf5 EXECUÇÃO', 'authorDisplayName': 'Cell Paes de Barros', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO7M-M6nQc_hXFmNFgu-0JsK58GVEJEwGyoff4UUw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCBVmLjglAtux1bpErnjp4OQ', 'authorChannelId': {'value': 'UCBVmLjglAtux1bpErnjp4OQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-05T03:07:36Z', 'updatedAt': '2022-11-05T03:07:36Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCBVmLjglAtux1bpErnjp4OQ,2022-11-05T03:07:36Z,"🫵🫵🫵🫵 EX PRESIDIÁRIO DILMAA NUNCA GANHARAM QUALQUER ELEIÇÃO BRAZIL
MINISTROS SUPREMO TSE EX PRESIDIÁRIO CONGRESSO INSTITUIÇÕES APARELHADAS MÍDIA 🫵 TODOS ENVOLVIDOS CRIME TRAIÇÃO PATRIA 🫵 EXECUÇÃO",,2023-06-08 02:56:16.627681
youtube#commentThread,oFIlg911fb6SDej96YO1G4sUkKM,Ugxl4Oad2Z9Ysnz02Ht4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '6xCqFiEIG9vCreR3hpFfkhULsFM', 'id': 'Ugxl4Oad2Z9Ysnz02Ht4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Lula já está eleito', 'textOriginal': 'Lula já está eleito', 'authorDisplayName': 'Railda Nogueira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOCm1imuO89CmFzBXuMcznhH2TY7yV8bN_NzwU1zQaNP1ZXUZ9fvNDKRq2wKl-S=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3E3nJp3JKVUsyjJ4td-TcQ', 'authorChannelId': {'value': 'UC3E3nJp3JKVUsyjJ4td-TcQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T22:21:02Z', 'updatedAt': '2022-10-23T22:21:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3E3nJp3JKVUsyjJ4td-TcQ,2022-10-23T22:21:02Z,Lula já está eleito,,2023-06-08 02:56:16.627681
youtube#commentThread,-MbTb93Ti5NQV2mD8IQAj58Znpk,UgwwO8a_8LJ43-EJRQV4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'yWfhDEuBETFcJP_s04lK5zg3neM', 'id': 'UgwwO8a_8LJ43-EJRQV4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Mônica Rodrigues ,  respeite o Lula e seus apoiadores.  Educação é um dever de todos .', 'textOriginal': 'Mônica Rodrigues ,  respeite o Lula e seus apoiadores.  Educação é um dever de todos .', 'authorDisplayName': 'Railda Nogueira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOCm1imuO89CmFzBXuMcznhH2TY7yV8bN_NzwU1zQaNP1ZXUZ9fvNDKRq2wKl-S=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3E3nJp3JKVUsyjJ4td-TcQ', 'authorChannelId': {'value': 'UC3E3nJp3JKVUsyjJ4td-TcQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T22:18:57Z', 'updatedAt': '2022-10-23T22:18:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3E3nJp3JKVUsyjJ4td-TcQ,2022-10-23T22:18:57Z,"Mônica Rodrigues ,  respeite o Lula e seus apoiadores.  Educação é um dever de todos .",,2023-06-08 02:56:16.627681
youtube#commentThread,e2t3XHMBqV-G9qWsdSd2Aj73BGc,UgzkdQpirwg7-zfX2EV4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3qQP7Q2YYLYpySjlteXB_G6wz5A', 'id': 'UgzkdQpirwg7-zfX2EV4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Brasileiros(as) devemos votar e não ficar em cima do muro; analisar quem tem mais apoio para fazer as reformas tão complicads que precisar fazer se não o Brasil vai continuar sem<br>avançar.sem apoio  conscistente será impossivel governar', 'textOriginal': 'Brasileiros(as) devemos votar e não ficar em cima do muro; analisar quem tem mais apoio para fazer as reformas tão complicads que precisar fazer se não o Brasil vai continuar sem\\navançar.sem apoio  conscistente será impossivel governar', 'authorDisplayName': 'Candido Costa Neto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOP28G0NEx7TsnckUUtzoXEfgNf31WFwaWzBNfl9A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UClZNgjykkfEDfEsmm311tzA', 'authorChannelId': {'value': 'UClZNgjykkfEDfEsmm311tzA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T15:31:15Z', 'updatedAt': '2022-10-23T15:31:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UClZNgjykkfEDfEsmm311tzA,2022-10-23T15:31:15Z,"Brasileiros(as) devemos votar e não ficar em cima do muro; analisar quem tem mais apoio para fazer as reformas tão complicads que precisar fazer se não o Brasil vai continuar sem
avançar.sem apoio  conscistente será impossivel governar",,2023-06-08 02:56:16.627681
youtube#commentThread,evzTOJvKYSvQXig36EEzIIUYurg,UgyU4L3SqpASXMxPrI94AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Qc_S8ENt4y0rZwYX5PksxjGKUSM', 'id': 'UgyU4L3SqpASXMxPrI94AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'O Luladrão jà come poeira faz tempo.<br>Mitoooooooooooooooo 22', 'textOriginal': 'O Luladrão jà come poeira faz tempo.\\nMitoooooooooooooooo 22', 'authorDisplayName': 'Ana Maria Conceição', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNff4RbwzoVHFqGosfALG0VqDxbUQm56jPfHw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCB15XwTGgNu0bvTFjfmva2A', 'authorChannelId': {'value': 'UCB15XwTGgNu0bvTFjfmva2A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T18:23:59Z', 'updatedAt': '2022-10-22T18:23:59Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCB15XwTGgNu0bvTFjfmva2A,2022-10-22T18:23:59Z,"O Luladrão jà come poeira faz tempo.
Mitoooooooooooooooo 22",,2023-06-08 02:56:16.627681
youtube#commentThread,-YczdHtk_V3fhgrqH3ZV8kR7UGk,Ugym4WkoiPOrZSrMGTN4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '-LRtS7ljaMGTR2hnFzX6rSYBzIs', 'id': 'Ugym4WkoiPOrZSrMGTN4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Bolsonaro', 'textOriginal': 'Bolsonaro', 'authorDisplayName': 'Joiciane VIEIRA DOS SANTOS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPJnzftas_CA1N60g19JJ3-7rXEKHmrAFxQQF4p_g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCC1zaNe7STydXiuhBP0WUXw', 'authorChannelId': {'value': 'UCC1zaNe7STydXiuhBP0WUXw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T00:26:57Z', 'updatedAt': '2022-10-21T00:26:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCC1zaNe7STydXiuhBP0WUXw,2022-10-21T00:26:57Z,Bolsonaro,,2023-06-08 02:56:16.627681
youtube#commentThread,ucEb9GGy2rZlIwgTRsZaX2LXUA0,UgymYR2tvLLQpzPpmIp4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'voFiMEVUixWGzmcJMhrwx0692_k', 'id': 'UgymYR2tvLLQpzPpmIp4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': '22🇧🇷', 'textOriginal': '22🇧🇷', 'authorDisplayName': 'Joiciane VIEIRA DOS SANTOS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPJnzftas_CA1N60g19JJ3-7rXEKHmrAFxQQF4p_g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCC1zaNe7STydXiuhBP0WUXw', 'authorChannelId': {'value': 'UCC1zaNe7STydXiuhBP0WUXw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-21T00:26:48Z', 'updatedAt': '2022-10-21T00:26:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCC1zaNe7STydXiuhBP0WUXw,2022-10-21T00:26:48Z,22🇧🇷,,2023-06-08 02:56:16.627681
youtube#commentThread,UmjljsW0qwR8ldhXHzKetRkcCs0,UgzZzGKBOQfRlM8vrWN4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iIjXKYXDwAB5E1HymEaijq7ikh4', 'id': 'UgzZzGKBOQfRlM8vrWN4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Cambadas STF censurar a jovem PAN é um absurdo o Brasil precisa ir p as ruas', 'textOriginal': 'Cambadas STF censurar a jovem PAN é um absurdo o Brasil precisa ir p as ruas', 'authorDisplayName': 'Edna Teruel', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOrPZTLydPQ2Pm5ncmXc9i6te75XoSzINjQeA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCW7rjlo_JzTO_vRkLKYimPQ', 'authorChannelId': {'value': 'UCW7rjlo_JzTO_vRkLKYimPQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T21:38:53Z', 'updatedAt': '2022-10-20T21:38:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCW7rjlo_JzTO_vRkLKYimPQ,2022-10-20T21:38:53Z,Cambadas STF censurar a jovem PAN é um absurdo o Brasil precisa ir p as ruas,,2023-06-08 02:56:16.627681
youtube#commentThread,Xj9t_6liVUKljdH62JLk1Cy4gI0,UgzfcNmclvoe083_oFB4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'C9SzuV82vo8X-0E3i3JXuF5lLxc', 'id': 'UgzfcNmclvoe083_oFB4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Não adianta Partido dos Trambiqueiro.O Brasil já virou 🇧🇷👍 22', 'textOriginal': 'Não adianta Partido dos Trambiqueiro.O Brasil já virou 🇧🇷👍 22', 'authorDisplayName': 'Edison Ferreira Leal', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPJgXADytZFe4lDqcGoY0qJg4WZP0IxIU9jr-qATg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYDhVxXWCh8HTdlKq85uU3w', 'authorChannelId': {'value': 'UCYDhVxXWCh8HTdlKq85uU3w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-20T20:31:16Z', 'updatedAt': '2022-10-20T20:31:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCYDhVxXWCh8HTdlKq85uU3w,2022-10-20T20:31:16Z,Não adianta Partido dos Trambiqueiro.O Brasil já virou 🇧🇷👍 22,,2023-06-08 02:56:16.627681
youtube#commentThread,RHOpWiLPhWirm4T5mN4Vdjj0APg,UgyNHHEkcFlXzr7wgst4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'PCkG5WIFEjWrbWnCUfLaUQpuUSM', 'id': 'UgyNHHEkcFlXzr7wgst4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'O que precisamos é de 50 + 1 que vai fechar o número da sorte do Lula, 51, o número da cachaça preferida do meu presidente amado.', 'textOriginal': 'O que precisamos é de 50 + 1 que vai fechar o número da sorte do Lula, 51, o número da cachaça preferida do meu presidente amado.', 'authorDisplayName': 'AMAR4NT', 'authorProfileImageUrl': 'https://yt3.ggpht.com/7Nz-VpTK_Og4SQSfBCjtp6BtGii9PNOoxPJSM8us8kLOJsS9jsEULF8i2JhDy9mmooI77nebRQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJBRKhHyy1bMH4uWvU6_Vpw', 'authorChannelId': {'value': 'UCJBRKhHyy1bMH4uWvU6_Vpw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-20T17:23:08Z', 'updatedAt': '2022-10-20T17:23:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCJBRKhHyy1bMH4uWvU6_Vpw,2022-10-20T17:23:08Z,"O que precisamos é de 50 + 1 que vai fechar o número da sorte do Lula, 51, o número da cachaça preferida do meu presidente amado.",,2023-06-08 02:56:16.627681
youtube#commentThread,Yq4xBCtDLndl25y7AwCEIUsnFsY,Ugz70vSbswDyTYNMl1p4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'U3KOemF925rnSjP1q_t_akjxhWk', 'id': 'Ugz70vSbswDyTYNMl1p4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Na eleição passada votei em Bolsonaro. <br>Me arrependo amargamente!!!!!!!', 'textOriginal': 'Na eleição passada votei em Bolsonaro. \\nMe arrependo amargamente!!!!!!!', 'authorDisplayName': 'Marcia Menezes Lima', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMdwsfqmj1HRzPs99MgvHHZy9I01iTmC0KueQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_bNVNezi8sSB4h_DFuYi4g', 'authorChannelId': {'value': 'UC_bNVNezi8sSB4h_DFuYi4g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T17:42:39Z', 'updatedAt': '2022-10-19T17:42:39Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_bNVNezi8sSB4h_DFuYi4g,2022-10-19T17:42:39Z,"Na eleição passada votei em Bolsonaro. 
Me arrependo amargamente!!!!!!!",,2023-06-08 02:56:16.627681
youtube#commentThread,t7d1tJvoiQJZxYN5qFCIm9SPeaI,Ugwbl5JJfvU4-V7ZYSp4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'pON3bINdwzRZXnnISzNhBMFWPpQ', 'id': 'Ugwbl5JJfvU4-V7ZYSp4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Pe o', 'textOriginal': 'Pe o', 'authorDisplayName': 'jr pe no chão', 'authorProfileImageUrl': 'https://yt3.ggpht.com/3DzTf-apvwQTu-5pLFn7X8vUqQAsRzECeDFd8iyEHsQwHelfgLcT5EyxweNtlw5IOvE07QZj=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFD8lHSQlEsJ1TSJl92rSAQ', 'authorChannelId': {'value': 'UCFD8lHSQlEsJ1TSJl92rSAQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T15:43:51Z', 'updatedAt': '2022-10-19T15:43:51Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFD8lHSQlEsJ1TSJl92rSAQ,2022-10-19T15:43:51Z,Pe o,,2023-06-08 02:56:16.627681
youtube#commentThread,z1CSZCqNp517fc7Gp7q0-_PDMtg,UgwpQlWhQUYJRuXLHrh4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gEfjPQFup_mE3Zk8LKgNG35eu_4', 'id': 'UgwpQlWhQUYJRuXLHrh4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Se o zema tivesse apoiado o lula pra essa midia podre traria ou levaria voto pata o Lula mais como. O zema apoiou o bolssonario nao faz efeito kklklk', 'textOriginal': 'Se o zema tivesse apoiado o lula pra essa midia podre traria ou levaria voto pata o Lula mais como. O zema apoiou o bolssonario nao faz efeito kklklk', 'authorDisplayName': 'Ednalva Nunes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNxI-lLTLcxNr0t7p1VP1_JoU3_B3jzMaaZuw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC1DK-0PW8wcnpc-Vv0H1jsw', 'authorChannelId': {'value': 'UC1DK-0PW8wcnpc-Vv0H1jsw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T14:19:54Z', 'updatedAt': '2022-10-19T14:19:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC1DK-0PW8wcnpc-Vv0H1jsw,2022-10-19T14:19:54Z,Se o zema tivesse apoiado o lula pra essa midia podre traria ou levaria voto pata o Lula mais como. O zema apoiou o bolssonario nao faz efeito kklklk,,2023-06-08 02:56:16.627681
youtube#commentThread,boCxG12WyLAuLdGXQWOe05kwqBs,UgyqSmcv0F5eLdBRkZx4AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'N7rr9Nqr5xuXhPmkcUjq5mqOzV8', 'id': 'UgyqSmcv0F5eLdBRkZx4AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'como eu não sou obrigada a votar em ladrão vamos num 22 meu pernabuco 👏👏👏', 'textOriginal': 'como eu não sou obrigada a votar em ladrão vamos num 22 meu pernabuco 👏👏👏', 'authorDisplayName': 'Monica Rodrigues', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqN7FKC7sM4dqbYKN4t2M-T_SJkH-8KiUpj7l4DS=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtWnlFLXuPF3a56KKJ0E5bw', 'authorChannelId': {'value': 'UCtWnlFLXuPF3a56KKJ0E5bw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 3, 'publishedAt': '2022-10-19T13:49:47Z', 'updatedAt': '2022-10-19T13:49:47Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtWnlFLXuPF3a56KKJ0E5bw,2022-10-19T13:49:47Z,como eu não sou obrigada a votar em ladrão vamos num 22 meu pernabuco 👏👏👏,,2023-06-08 02:56:16.627681
youtube#commentThread,trcCKuqsOUqMi9dcFQkARtK6Z1w,UgxtOLwSndQHP6sMP194AaABAg,"{'videoId': 'xG2VXRYvIEs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'h-LlPRw3n6cwoZVLxCk-DFY_pPc', 'id': 'UgxtOLwSndQHP6sMP194AaABAg', 'snippet': {'videoId': 'xG2VXRYvIEs', 'textDisplay': 'Chora CNN', 'textOriginal': 'Chora CNN', 'authorDisplayName': 'leonardo sousa', 'authorProfileImageUrl': 'https://yt3.ggpht.com/qSkb4gG6kmzbrSbbIL5Ptm8Pzr7RKU0uXcpcv__ROy23nxjjbQ-XUPKybttfk4TOg_DR3B5vrg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCVcK4DOGWnrkcuu2W5ciKCQ', 'authorChannelId': {'value': 'UCVcK4DOGWnrkcuu2W5ciKCQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T08:33:28Z', 'updatedAt': '2022-10-19T08:33:28Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCVcK4DOGWnrkcuu2W5ciKCQ,2022-10-19T08:33:28Z,Chora CNN,,2023-06-08 02:56:16.627681
