kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,8imAoZbdOck4FzWx3QlIw35O8Ps,UgyxrRQM-WyMsDrxBq54AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ONYlNaBmof71pAkYPOCYr_nL4fc', 'id': 'UgyxrRQM-WyMsDrxBq54AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Tenho pedido a Deus que me direcione para outra forma de renda ,pois,gastamos muito o gnv está 4,99,  80 reais de gnv todo dia quando não precisa abastecer denovo,já começa devendo 80 reais quando não precisa de completar o álcool,pneu 375 ,00 cada,óleo motor 48 reais o litro,álcool 4,00,pastilhas freio 78,00,jogo de velas 98,00, tendo que trocar de 10 em dez mil km.rodo pelo menos 250 km por dia não consigo passar dos 250 reais,isso significa que para manter a manutenção em dia a cada 40 dias troco óleo ,velas, alinhamento 50,00 mas como no momento e o que tem vamos levando.<br>Sem dizer que cai corridas repetidas e afeta a taxa de aceitação,vezes cai a mesma corrida três vezes e nas três vezes e afetada a taxa de aceitação.eswueceu de falar do castigo de 12 minutos quando rejeita corridas que as v zes também repetidas<br>Escravidão,muito gasto e pouco lucro', 'textOriginal': 'Tenho pedido a Deus que me direcione para outra forma de renda ,pois,gastamos muito o gnv está 4,99,  80 reais de gnv todo dia quando não precisa abastecer denovo,já começa devendo 80 reais quando não precisa de completar o álcool,pneu 375 ,00 cada,óleo motor 48 reais o litro,álcool 4,00,pastilhas freio 78,00,jogo de velas 98,00, tendo que trocar de 10 em dez mil km.rodo pelo menos 250 km por dia não consigo passar dos 250 reais,isso significa que para manter a manutenção em dia a cada 40 dias troco óleo ,velas, alinhamento 50,00 mas como no momento e o que tem vamos levando.\\nSem dizer que cai corridas repetidas e afeta a taxa de aceitação,vezes cai a mesma corrida três vezes e nas três vezes e afetada a taxa de aceitação.eswueceu de falar do castigo de 12 minutos quando rejeita corridas que as v zes também repetidas\\nEscravidão,muito gasto e pouco lucro', 'authorDisplayName': 'Caja elétrica Res/predial', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOSj23PlFUPeedRqKcQJ0lLEOTDQrDjq4PnLBkuhwc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeW7NMIaG6Y1lvRColA0YEQ', 'authorChannelId': {'value': 'UCeW7NMIaG6Y1lvRColA0YEQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T06:13:07Z', 'updatedAt': '2022-10-24T06:13:07Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCeW7NMIaG6Y1lvRColA0YEQ,2022-10-24T06:13:07Z,"Tenho pedido a Deus que me direcione para outra forma de renda ,pois,gastamos muito o gnv está 4,99,  80 reais de gnv todo dia quando não precisa abastecer denovo,já começa devendo 80 reais quando não precisa de completar o álcool,pneu 375 ,00 cada,óleo motor 48 reais o litro,álcool 4,00,pastilhas freio 78,00,jogo de velas 98,00, tendo que trocar de 10 em dez mil km.rodo pelo menos 250 km por dia não consigo passar dos 250 reais,isso significa que para manter a manutenção em dia a cada 40 dias troco óleo ,velas, alinhamento 50,00 mas como no momento e o que tem vamos levando.
Sem dizer que cai corridas repetidas e afeta a taxa de aceitação,vezes cai a mesma corrida três vezes e nas três vezes e afetada a taxa de aceitação.eswueceu de falar do castigo de 12 minutos quando rejeita corridas que as v zes também repetidas
Escravidão,muito gasto e pouco lucro",,2023-06-08 14:56:19.291401
youtube#commentThread,U7roqraJjKcFezOwljJp-sN23S4,UgzSdFFDm320cj_MJtJ4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'lxTisfwkhQmvc-_9IzcQxXo4bSo', 'id': 'UgzSdFFDm320cj_MJtJ4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Infelizmente eles mentem.corridq são oferecidas por um valor e quando finalizada e bem menor do que foi mostrado no momento que aceitamos .', 'textOriginal': 'Infelizmente eles mentem.corridq são oferecidas por um valor e quando finalizada e bem menor do que foi mostrado no momento que aceitamos .', 'authorDisplayName': 'Caja elétrica Res/predial', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOSj23PlFUPeedRqKcQJ0lLEOTDQrDjq4PnLBkuhwc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeW7NMIaG6Y1lvRColA0YEQ', 'authorChannelId': {'value': 'UCeW7NMIaG6Y1lvRColA0YEQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T06:03:57Z', 'updatedAt': '2022-10-24T06:03:57Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCeW7NMIaG6Y1lvRColA0YEQ,2022-10-24T06:03:57Z,Infelizmente eles mentem.corridq são oferecidas por um valor e quando finalizada e bem menor do que foi mostrado no momento que aceitamos .,,2023-06-08 14:56:19.291401
youtube#commentThread,jsvo_GD0jG7WeL6yeKF8nEkOqBI,Ugw9D5_JP7fsOatlvPh4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'NDuan6K4hYbIQdEuU8LCjtUpDXU', 'id': 'Ugw9D5_JP7fsOatlvPh4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Mentira', 'textOriginal': 'Mentira', 'authorDisplayName': 'Caja elétrica Res/predial', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOSj23PlFUPeedRqKcQJ0lLEOTDQrDjq4PnLBkuhwc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCeW7NMIaG6Y1lvRColA0YEQ', 'authorChannelId': {'value': 'UCeW7NMIaG6Y1lvRColA0YEQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T05:59:25Z', 'updatedAt': '2022-10-24T05:59:25Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCeW7NMIaG6Y1lvRColA0YEQ,2022-10-24T05:59:25Z,Mentira,,2023-06-08 14:56:19.291401
youtube#commentThread,ggpjYLheFMZQrWCB8bcTurM-xBY,UgzrNyDtYdDPoJ-oJKp4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'sZoasT0SwA2BMIzfWV6avbcfJ7E', 'id': 'UgzrNyDtYdDPoJ-oJKp4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Ola alguem quer conversar eu to com insonia', 'textOriginal': 'Ola alguem quer conversar eu to com insonia', 'authorDisplayName': 'MARIMAR', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMSap2sMRZDaa6KG4z80mM_dU5YSSf9UQgiWFC8WQI2N0__S7erhuq77OLUVUwR=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfjDBaFCJODk6P280m0Y12Q', 'authorChannelId': {'value': 'UCfjDBaFCJODk6P280m0Y12Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T02:29:05Z', 'updatedAt': '2022-10-24T02:29:05Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfjDBaFCJODk6P280m0Y12Q,2022-10-24T02:29:05Z,Ola alguem quer conversar eu to com insonia,,2023-06-08 14:56:19.291401
youtube#commentThread,G8ytS60dbbNo__mxTg4VmAeesbQ,Ugwhm9OuulZFqc13XBl4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Yw9Fs38SdGPEDl2PRQCFPyUlCEI', 'id': 'Ugwhm9OuulZFqc13XBl4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Não paga nem a manutenção do carro.  Lamentável.', 'textOriginal': 'Não paga nem a manutenção do carro.  Lamentável.', 'authorDisplayName': 'Ricardo Inocencio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMDwZsLGq6a75amNeOR2ZOBOnuQZ04a2jVb2A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCsoxNDl4GAsPd2HQ30PKBKw', 'authorChannelId': {'value': 'UCsoxNDl4GAsPd2HQ30PKBKw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T01:51:53Z', 'updatedAt': '2022-10-24T01:51:53Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCsoxNDl4GAsPd2HQ30PKBKw,2022-10-24T01:51:53Z,Não paga nem a manutenção do carro.  Lamentável.,,2023-06-08 14:56:19.291401
youtube#commentThread,i9VxCRoUFL2OCnzBZFauBU5E00s,UgzSmA_R90DVmi_mh9x4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ysbAFUndO8Zu8S7AN4IeP0LuLVY', 'id': 'UgzSmA_R90DVmi_mh9x4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Maiores roubos de motoristas 99 sem segurança nem uma', 'textOriginal': 'Maiores roubos de motoristas 99 sem segurança nem uma', 'authorDisplayName': 'Eurico De paula', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMunb-1IBYQM_pjU-e5-12FGyb0GRAEroLWaw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCx3v2oSWqkJbUuOu08B-U2A', 'authorChannelId': {'value': 'UCx3v2oSWqkJbUuOu08B-U2A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T01:23:10Z', 'updatedAt': '2022-10-24T01:23:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCx3v2oSWqkJbUuOu08B-U2A,2022-10-24T01:23:10Z,Maiores roubos de motoristas 99 sem segurança nem uma,,2023-06-08 14:56:19.291401
youtube#commentThread,9Ve_dIifyCMiT1h15BdDOj11yhc,UgzAejrTTbKHemTv-dN4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'QH1Q41eaS2-x2Y2195qZl9jmQ-c', 'id': 'UgzAejrTTbKHemTv-dN4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Queremos aumento real de tarifa . 99 e uber tem que criar vergonha na cara.  Isso que a 99 está fazendo e dar com uma mão e tirar com as duas . <br>O problema não é e nunca foi o combustível e sim nossos ganhos que são miseráveis.  De cem corridas só umas três compensa.  A maioria é um por um. A 99 ainda rouba a gente ofertando um valor e pagando menos . Nunca arredonda pra mais', 'textOriginal': 'Queremos aumento real de tarifa . 99 e uber tem que criar vergonha na cara.  Isso que a 99 está fazendo e dar com uma mão e tirar com as duas . \\nO problema não é e nunca foi o combustível e sim nossos ganhos que são miseráveis.  De cem corridas só umas três compensa.  A maioria é um por um. A 99 ainda rouba a gente ofertando um valor e pagando menos . Nunca arredonda pra mais', 'authorDisplayName': 'china', 'authorProfileImageUrl': 'https://yt3.ggpht.com/Sd3OJUipaX2as8aiQifonocb8O_AsLwDYaJ9sV-9bsALOBzZo3AX5eifSlzkluvE3ufJcj-xOqU=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCG73aiT1eTzOTnMDBICX3wQ', 'authorChannelId': {'value': 'UCG73aiT1eTzOTnMDBICX3wQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T00:38:17Z', 'updatedAt': '2022-10-24T00:39:16Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCG73aiT1eTzOTnMDBICX3wQ,2022-10-24T00:38:17Z,"Queremos aumento real de tarifa . 99 e uber tem que criar vergonha na cara.  Isso que a 99 está fazendo e dar com uma mão e tirar com as duas . 
O problema não é e nunca foi o combustível e sim nossos ganhos que são miseráveis.  De cem corridas só umas três compensa.  A maioria é um por um. A 99 ainda rouba a gente ofertando um valor e pagando menos . Nunca arredonda pra mais",,2023-06-08 14:56:19.291401
youtube#commentThread,XVpQ-roZU5_Nue0vtKQZsqURc1s,UgzNjMSNvf-MPk75eXt4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'iOCd0Bcz-VHdJHZLV60Urcwdnls', 'id': 'UgzNjMSNvf-MPk75eXt4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Olhem o visual da representante da empresa... a camiseta....Não existe uma empresa sequer no Brasil que não seja esquerdista ? O jeito é migra para outros aplicativos.', 'textOriginal': 'Olhem o visual da representante da empresa... a camiseta....Não existe uma empresa sequer no Brasil que não seja esquerdista ? O jeito é migra para outros aplicativos.', 'authorDisplayName': 'Alexandre Lander', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMivHIYO5z190mANS8dXGMpKyQYuTU87MgLEohy7A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCvv5m_l14fL1b8b-1sIqhdg', 'authorChannelId': {'value': 'UCvv5m_l14fL1b8b-1sIqhdg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-24T00:26:53Z', 'updatedAt': '2022-10-24T00:26:53Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'GWSzJCH4eCzPg-S2eegkQVN8o2s', 'id': 'UgzNjMSNvf-MPk75eXt4AaABAg.9hYOR6qFgWK9hY_u5bW9xv', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Bem isso !! Nojo desse tipo de gente, não é pra ajudar os mais pobres ? Zerem a taxa entoa', 'textOriginal': 'Bem isso !! Nojo desse tipo de gente, não é pra ajudar os mais pobres ? Zerem a taxa entoa', 'parentId': 'UgzNjMSNvf-MPk75eXt4AaABAg', 'authorDisplayName': 'Jack', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMApj1GsvxSLClY3Cy9c6DD8mVh6ae2F8p8OKMWBc6AKNy3Jqftki-MSRzhw1mn=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChEiRfZwKMweKGyrSFOkEQA', 'authorChannelId': {'value': 'UChEiRfZwKMweKGyrSFOkEQA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T02:15:50Z', 'updatedAt': '2022-10-24T02:15:50Z'}}]}",UCvv5m_l14fL1b8b-1sIqhdg,2022-10-24T00:26:53Z,Olhem o visual da representante da empresa... a camiseta....Não existe uma empresa sequer no Brasil que não seja esquerdista ? O jeito é migra para outros aplicativos.,,2023-06-08 14:56:19.291401
youtube#commentThread,dGYvCciA3mII63bRa_02-yY2xwA,UgyT6PJNCRaMjvgXs954AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'n55RMqCEuSDrGVlnPq9FCHxQ-M8', 'id': 'UgyT6PJNCRaMjvgXs954AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Que a maioria dos passageiros migrem para o indrive e que os motoristas deem preferência ao indriver', 'textOriginal': 'Que a maioria dos passageiros migrem para o indrive e que os motoristas deem preferência ao indriver', 'authorDisplayName': 'Rogério Da Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/cQtJ7fAYmecRgnSyUGKp8CDnbhqFJv2qsqX6mPMRm0e4iTMo-_wTE-vncXlL_FLMz9vHvSjVCYE=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtFGcn_zvNGx_KUgYwo3iVw', 'authorChannelId': {'value': 'UCtFGcn_zvNGx_KUgYwo3iVw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 2, 'publishedAt': '2022-10-23T21:41:48Z', 'updatedAt': '2022-10-23T21:41:48Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtFGcn_zvNGx_KUgYwo3iVw,2022-10-23T21:41:48Z,Que a maioria dos passageiros migrem para o indrive e que os motoristas deem preferência ao indriver,,2023-06-08 14:56:19.291401
youtube#commentThread,G6wKXeoH0eBylWDV96IqQkWkz6E,UgxUKkDZ-hDNb859n894AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'IndGeeXqyEq_y3iNzmPV5P3VLKk', 'id': 'UgxUKkDZ-hDNb859n894AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Para ir na Jp estão desesperado', 'textOriginal': 'Para ir na Jp estão desesperado', 'authorDisplayName': 'Bruno Moura', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPJISuwJ-p_yzdOIUDZtjWaiwPnDAwmJzG4XYQHpQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCxjHOf9nFTG59gRckveJlyA', 'authorChannelId': {'value': 'UCxjHOf9nFTG59gRckveJlyA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T19:57:19Z', 'updatedAt': '2022-10-23T19:57:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCxjHOf9nFTG59gRckveJlyA,2022-10-23T19:57:19Z,Para ir na Jp estão desesperado,,2023-06-08 14:56:19.291401
youtube#commentThread,wIA3JBiAg2rdtKOhRliNkhiJAkE,UgxxlbKZJHOy9WgN72d4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'K5Y-m7DoxoxPz0OU6czH47-fAnw', 'id': 'UgxxlbKZJHOy9WgN72d4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Tudo mentira', 'textOriginal': 'Tudo mentira', 'authorDisplayName': 'Josias chagas', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMvRCoi9roXU7-SCCnPoLG6DSayhfb565qOdg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCW1GYp76Mo-c6vk7RYVotZw', 'authorChannelId': {'value': 'UCW1GYp76Mo-c6vk7RYVotZw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-23T19:55:56Z', 'updatedAt': '2022-10-23T19:55:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCW1GYp76Mo-c6vk7RYVotZw,2022-10-23T19:55:56Z,Tudo mentira,,2023-06-08 14:56:19.291401
youtube#commentThread,ZX6Q-UNT6odmY5h6T5rhb_1qLNs,UgzGtia3Og6V6FvbS8Z4AaABAg,"{'videoId': 'max5Bhjxwqs', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'oMOCAEOpuvfmDervB8pCQ0YQ8CM', 'id': 'UgzGtia3Og6V6FvbS8Z4AaABAg', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'SINCERAMENTE, ESSA LIMITACAO DEVERIA ESTAR EM 10%... EX.. FIZ CORRIDAS ANO PASSADO EM OUTRA PLATAFORMA, FATUREI 77000.00 BRUTO, FIQUEI COM 55000.00 , SENDO QUE O CARRO ALUGADO E COMBUSTIVEL CARO, SE QUISER GANHAR MESMO DINHEIRO VA PARA O TAXI, AE SIM VC VAI FATURAR DE VERDADE.,...', 'textOriginal': 'SINCERAMENTE, ESSA LIMITACAO DEVERIA ESTAR EM 10%... EX.. FIZ CORRIDAS ANO PASSADO EM OUTRA PLATAFORMA, FATUREI 77000.00 BRUTO, FIQUEI COM 55000.00 , SENDO QUE O CARRO ALUGADO E COMBUSTIVEL CARO, SE QUISER GANHAR MESMO DINHEIRO VA PARA O TAXI, AE SIM VC VAI FATURAR DE VERDADE.,...', 'authorDisplayName': 'MÁRCIO SR', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNcO0ZqyQjQw0V4RhtD97F0eTcDFyqvPddLObaQAA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuudpoxcj9X6FRGwYIWoPhA', 'authorChannelId': {'value': 'UCuudpoxcj9X6FRGwYIWoPhA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-23T19:35:09Z', 'updatedAt': '2022-10-23T19:35:09Z'}}, 'canReply': True, 'totalReplyCount': 1, 'isPublic': True}","{'comments': [{'kind': 'youtube#comment', 'etag': 'n5epTPguDKmI-eqb85mqw5Fc78s', 'id': 'UgzGtia3Og6V6FvbS8Z4AaABAg.9hXs2LRVp3T9hY_p5d6UOT', 'snippet': {'videoId': 'max5Bhjxwqs', 'textDisplay': 'Israel Duque que poupança que dá quase 10% de juros , tá doido ?', 'textOriginal': 'Israel Duque que poupança que dá quase 10% de juros , tá doido ?', 'parentId': 'UgzGtia3Og6V6FvbS8Z4AaABAg', 'authorDisplayName': 'Jack', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMApj1GsvxSLClY3Cy9c6DD8mVh6ae2F8p8OKMWBc6AKNy3Jqftki-MSRzhw1mn=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UChEiRfZwKMweKGyrSFOkEQA', 'authorChannelId': {'value': 'UChEiRfZwKMweKGyrSFOkEQA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-24T02:15:09Z', 'updatedAt': '2022-10-24T02:15:09Z'}}]}",UCuudpoxcj9X6FRGwYIWoPhA,2022-10-23T19:35:09Z,"SINCERAMENTE, ESSA LIMITACAO DEVERIA ESTAR EM 10%... EX.. FIZ CORRIDAS ANO PASSADO EM OUTRA PLATAFORMA, FATUREI 77000.00 BRUTO, FIQUEI COM 55000.00 , SENDO QUE O CARRO ALUGADO E COMBUSTIVEL CARO, SE QUISER GANHAR MESMO DINHEIRO VA PARA O TAXI, AE SIM VC VAI FATURAR DE VERDADE.,...",,2023-06-08 14:56:19.291401
